ID	Box	Pop	Temp	Diet	Phosphorus	GUT	Days_spent	N_clutches	N_clutches_per day	Av_stick_height	Ctmax_time	Ctmax_temp	Cons_animal	Cons_plant	Animal_per_day	Plant_per_day	Ratio_A:P	Total_cons	Cons_rate	Ini_weight	Fin_weight	Growth_rate	Shell_IL	Shell_IAA	Shell_FL	Shell_FAA
124	6	SE	14	M	3	x	74	0	0	0.583333333333333	210	38	214.016666666667	160.588888888889	2.89211711711712	2.17012012012012	1 : 0.75	374.605555555556	5.13	95.47	227.85	1.78891891891892			12.9183333333333	52.4863333333333
125	6	SE	14	P	0	x	74	0	0	0.716666666666667	210	38	0	295.963939393939	0	3.99951269451269		295.963939393939	4.05	140.23	216.16	1.02608108108108	9.102	29.791	12.0676666666667	38.55625
127	6	SE	14	P	3	x	74	5	0.0675675675675676	1.06666666666667	218	38.6	0	664.457070707071	0	8.9791496041496		664.457070707071	9.1	186.32	438.83	3.4122972972973	11.0013333333333	34.0183333333333	19.1386666666667	107.137333333333
128	6	SE	14	A	0	x	74	5	0.0675675675675676	0.75	187	35.7	672.331212121212	0	9.08555692055692	0		672.331212121212	9.21	193.33	610.28	5.63445945945946	12.181	37.8636666666667	21.42	137.992333333333
129	6	SE	14	A	3	x	74	3	0.0405405405405405	0.883333333333333	191	36.8	468.949848484849	0	6.33716011466012	0		468.949848484849	6.42	138.16	398.06	3.51216216216216	10.918	29.8663333333333	17.2166666666667	92.7793333333333
130	6	SE	14	A	3	x	74	0	0	0.25	178	35.2	345.068484848485	0	4.66308763308764	0		345.068484848485	4.73	125.31	241.16	1.56554054054054	9.44233333333333	30.7036666666667	13.05	56.8006666666667
133	6	SE	14	M	3	x	74	3	0.0405405405405405	1.28333333333333	185	35.9	631.627575757576	456.323434343434	8.53550778050778	6.1665328965329	1 : 0.72	1087.95101010101	14.9	213.62	804.22	7.98108108108108	12.221	38.153	22.7523333333333	172.195
134	6	SE	14	P	0	x	74	6	0.0810810810810811	1.06666666666667	214	38.6	0	743.950303030303	0	10.0533824733825		743.950303030303	10.19	165.67	501.1	4.53283783783784	11.167	30.605	20.8946666666667	125.040333333333
135	6	SE	14	P	3	x	74	5	0.0675675675675676	0.683333333333333	187	36.1	0	618.368585858586	0	8.35633224133224		618.368585858586	8.47	119.23	421.33	4.08243243243243	10.5696666666667	28.581	20.3883333333333	114.097666666667
138	7	SE	14	A	0	x	74	0	0	0.683333333333333	204	37.6	407.641212121212	0	5.50866502866503	0		407.641212121212	5.58	282.44	481.02	2.68351351351351	12.9463333333333	69.49	13.6836666666667	85.939
142	7	SE	14	M	3	x	74	1	0.0135135135135135	0.433333333333333	216	38.8	184.490757575758	162.21101010101	2.49311834561835	2.19204067704068	1 : 0.88	346.701767676768	4.75	77.74	114.25	0.493378378378378	8.02733333333333	18.2723333333333	8.91766666666667	29.8013333333333
144	7	SE	14	P	0	x	74	0	0	0.716666666666667	208	37.6	0	244.066666666667	0	3.2981981981982		244.066666666667	3.34	198.92	230.47	0.426351351351351	10.796	36.5933333333333	11.6166666666667	50.415
146	7	SE	14	A	0	x	74	12	0.162162162162162	0.633333333333333	180	35.6	272.266666666667	0	3.67927927927928	0		272.266666666667	3.73	99.53	122.87	0.315405405405405	7.741	22.7326666666667	10.941	39.937
147	7	SE	14	A	3	x	74	0	0	0.533333333333333	200	37	622.831212121212	0	8.416638001638	0		622.831212121212	8.53	239.14	571.47	4.49094594594595	10.937	41.3536666666667	17.3063333333333	131.074333333333
148	7	SE	14	A	3	x	74	3	0.0405405405405405	1.63333333333333	195	37	722.583030303031	0	9.76463554463555	0		722.583030303031	9.9	236	650.1	5.59594594594595	12.6146666666667	46.0116666666667	21.588	153.247666666667
155	8	SE	14	A	0	x	74	0	0	0.383333333333333	195	37.1	427.084848484849	0	5.77141687141687	0		427.084848484849	5.85	196.1	321.7	1.6972972972973	11.0463333333333	38.4703333333333	13.134	63.08
157	8	SE	14	A	3	x	74	0	0	1.1	202	37.4	321.468484848485	0	4.34416871416872	0		321.468484848485	4.4	118.24	240.95	1.65824324324324	8.74033333333333	26.7513333333333	11.6616666666667	52.0413333333333
158	8	SE	14	M	0	x	74	3	0.0405405405405405	1.21666666666667	176	35.4	400.982121212121	265.663939393939	5.41867731367731	3.59005323505323	1 : 0.66	666.646060606061	9.13	112.81	505.41	5.30540540540541	10.535	26.8596666666667	17.4733333333333	104.675666666667
160	8	SE	14	M	3	x	74	0	0	0.516666666666667	189	36.7	230.042575757576	225.566767676768	3.10868345618346	3.04819956319956	1 : 0.98	455.609343434344	6.24	94.09	326.88	3.14581081081081	8.386	19.8176666666667	13.5893333333333	62.8473333333333
